Week Number,Quarter Highlighter,Sales (Selected Month),Sales % Difference from Previous,MTD More or Less,YTD Sales (Selected),MTD Sales % Difference,What to show,Days left EoQ,Customer Name,Customer Segment,Customer State,Discount,MTD Profit % Difference,YTD Sales % Difference,MTD Profit (Previous),MTD Profit (Selected),MTD Sales (Previous),레코드 수,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales (Previous Month),Sales,Ship Date,Ship Mode,Shipping Cost,Unit Price,MTD Sales (Selected),YTD Sales (Previous),Zip Code
11,Older,,,Less,,,Central,67,Darren Budd,Consumer,Texas,0.07,,,,,,1,2012-06-15,57253,Critical,48,0.8,Office Supplies,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,-335.24,Central,8011,,"$12,636",2012-06-15,Regular Air,35,279.48,,,73301
11,Older,,,Less,,,Central,67,Darren Budd,Consumer,Texas,0.04,,,,,,1,2012-06-15,57253,Critical,25,0.55,Technology,Small Box,232,Telephones and Communication,667.449,Central,8012,,"$2,750",2012-06-15,Regular Air,5.26,125.99,,,73301
11,Older,,,Less,,,Central,67,Marina Lichtenstein,Corporate,Michigan,0.08,,,,,,1,2012-06-15,32418,Not Specified,5,0.55,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,-131.31,Central,4555,,"$1,244",2012-06-16,Delivery Truck,43.32,243.98,,,49642
11,Older,,,Less,,,Central,67,Darren Budd,Consumer,Texas,0.08,,,,,,1,2012-06-15,57253,Critical,49,0.36,Office Supplies,Small Box,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Binders and Binder Accessories,-154.6175,Central,8014,,$240,2012-06-16,Regular Air,5.68,4.91,,,73301
11,Older,,,Less,,,Central,67,Darren Budd,Consumer,Texas,0.08,,,,,,1,2012-06-15,57253,Critical,43,0.52,Office Supplies,Wrap Bag,Assorted Color Push Pins,Rubber Bands,1.74,Central,8013,,$78,2012-06-16,Regular Air,0.75,1.81,,,73301
11,Older,,,Less,,,South,67,Dorris Love,Home Office,North Carolina,0.05,,,,,,1,2012-06-15,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,-32.48,South,47,,$189,2012-06-16,Regular Air,5.83,7.64,,,28717
11,Older,,,Less,,,Central,67,Matt Collins,Consumer,Michigan,0.03,,,,,,1,2012-06-15,1028,High,6,0.4,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,-28.46,Central,164,,$166,2012-06-16,Regular Air,1.99,28.48,,,48001
11,Older,,,Less,,,Central,67,Darren Budd,Consumer,Texas,0.06,,,,,,1,2012-06-15,57253,Critical,29,0.78,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,-1358.9,Central,8015,,$654,2012-06-17,Delivery Truck,53.03,20.98,,,73301
11,Older,,,Less,,,South,67,Robert Waldorf,Home Office,Virginia,0,,,,,,1,2012-06-15,59232,High,23,0.4,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,245.97,South,8291,,$725,2012-06-17,Regular Air,5.76,30.98,,,23018
11,Older,,,Less,,,Central,67,Matt Collins,Consumer,Michigan,0.01,,,,,,1,2012-06-15,1028,High,11,0.59,Technology,Small Box,3285,Telephones and Communication,-60.39,Central,165,,"$2,021",2012-06-17,Regular Air,5.99,205.99,,,48001
