Customer Name,Customer Segment,Customer State,Discount,Order Date,Order ID,Order Priority,Order Quantity,Product Base Margin,Product Category,Product Container,Product Name,Product Sub-Category,Profit,Region,Row ID,Sales,Ship Date,Ship Mode,Shipping Cost,Unit Price,Zip Code
Darren Budd,Consumer,Texas,0.07,2012-06-15,57253,Critical,48,0.8,Office Supplies,Large Box,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,-335.24,Central,8011,12635.75,2012-06-15,Regular Air,35,279.48,73301
Darren Budd,Consumer,Texas,0.04,2012-06-15,57253,Critical,25,0.55,Technology,Small Box,232,Telephones and Communication,667.449,Central,8012,2750.107,2012-06-15,Regular Air,5.26,125.99,73301
Marina Lichtenstein,Corporate,Michigan,0.08,2012-06-15,32418,Not Specified,5,0.55,Furniture,Jumbo Drum,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,-131.31,Central,4555,1244.19,2012-06-16,Delivery Truck,43.32,243.98,49642
Darren Budd,Consumer,Texas,0.08,2012-06-15,57253,Critical,49,0.36,Office Supplies,Small Box,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Binders and Binder Accessories,-154.6175,Central,8014,240.3,2012-06-16,Regular Air,5.68,4.91,73301
Darren Budd,Consumer,Texas,0.08,2012-06-15,57253,Critical,43,0.52,Office Supplies,Wrap Bag,Assorted Color Push Pins,Rubber Bands,1.74,Central,8013,78.08,2012-06-16,Regular Air,0.75,1.81,73301
Dorris Love,Home Office,North Carolina,0.05,2012-06-15,290,Not Specified,24,0.36,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,-32.48,South,47,188.73,2012-06-16,Regular Air,5.83,7.64,28717
Matt Collins,Consumer,Michigan,0.03,2012-06-15,1028,High,6,0.4,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,-28.46,Central,164,165.75,2012-06-16,Regular Air,1.99,28.48,48001
Darren Budd,Consumer,Texas,0.06,2012-06-15,57253,Critical,29,0.78,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,-1358.9,Central,8015,653.54,2012-06-17,Delivery Truck,53.03,20.98,73301
Robert Waldorf,Home Office,Virginia,0,2012-06-15,59232,High,23,0.4,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,245.97,South,8291,725.43,2012-06-17,Regular Air,5.76,30.98,23018
Matt Collins,Consumer,Michigan,0.01,2012-06-15,1028,High,11,0.59,Technology,Small Box,3285,Telephones and Communication,-60.39,Central,165,2021.147,2012-06-17,Regular Air,5.99,205.99,48001
Jessica Myrick,Small Business,Wisconsin,0.1,2012-06-16,28774,High,32,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-111.8,Central,4031,180.36,2012-06-17,Regular Air,4.69,5.98,53081
Matt Collister,Home Office,Idaho,0.08,2012-06-16,13729,Not Specified,9,0.82,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,-342.91,West,1914,872.48,2012-06-18,Express Air,35,95.99,83877
Alan Schoenberger,Corporate,Colorado,0,2012-06-17,37537,Low,4,0.56,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,-193.08,West,5272,1239.06,2012-06-17,Delivery Truck,48.8,291.73,80001
Elizabeth Moffitt,Consumer,Connecticut,0.08,2012-06-17,44069,Critical,43,0.39,Office Supplies,Wrap Bag,White GlueTop Scratch Pads,Paper,247.79,East,6224,614.8,2012-06-17,Regular Air,1.97,15.04,06928
Alan Schoenberger,Corporate,Colorado,0.07,2012-06-17,37537,Low,43,0.69,Furniture,Jumbo Drum,Hon Valutask™ Swivel Chairs,Chairs & Chairmats,-1049.85,West,5273,4083.19,2012-06-19,Delivery Truck,45,100.98,80001
Elizabeth Moffitt,Consumer,Connecticut,0.09,2012-06-17,44069,Critical,16,0.4,Office Supplies,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",Paper,26.71,East,6225,137.63,2012-06-19,Express Air,2.15,9.11,06928
David Philippe,Consumer,New York,0.06,2012-06-17,9285,Critical,3,0.36,Office Supplies,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,-11.937,East,1279,124.81,2012-06-19,Regular Air,2.99,40.98,14210
Alan Schoenberger,Corporate,Colorado,0.05,2012-06-17,37537,Low,32,0.59,Office Supplies,Small Box,"Dual Level, Single-Width Filing Carts",Storage & Organization,1438.49,West,5274,4902.38,2012-06-24,Regular Air,7.07,155.06,80001
Patrick Jones,Home Office,Alabama,0.09,2012-06-18,40354,High,4,0.64,Furniture,Jumbo Box,Bush Advantage Collection® Round Conference Table,Tables,-93.16,South,5704,698,2012-06-19,Delivery Truck,52.2,212.6,36344
Larry Tron,Home Office,Virginia,0.05,2012-06-18,9762,High,12,0.78,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-146.05,South,1336,262.76,2012-06-19,Regular Air,21.2,20.98,24157
Patrick Jones,Home Office,Alabama,0.03,2012-06-18,40354,High,29,0.37,Office Supplies,Small Box,Avery Heavy-Duty EZD ™ Binder With Locking Rings,Binders and Binder Accessories,12.5545,South,5705,172.51,2012-06-19,Regular Air,2.99,5.58,36344
Alex Russell,Home Office,South Carolina,0.03,2012-06-18,7909,High,29,0.44,Office Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Pens & Art Supplies,24.55,South,1074,122.23,2012-06-19,Regular Air,1.2,4.26,29808
Bill Donatelli,Corporate,New York,0.03,2012-06-18,30016,Critical,15,0.4,Office Supplies,Small Box,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,-41.58,East,4223,85.56,2012-06-20,Regular Air,5.66,5.28,14925
Ann Steele,Corporate,Idaho,0,2012-06-18,11972,Not Specified,4,0.59,Technology,Jumbo Drum,Panasonic KX-P2130 Dot Matrix Printer,Office Machines,-519.85,West,1663,896.49,2012-06-20,Delivery Truck,14.7,213.45,83810
Andy Reiter,Corporate,Maryland,0.08,2012-06-18,9637,Low,12,0.66,Technology,Small Box,"Fellowes Mobile Numeric Keypad, Graphite",Computer Peripherals,-236.43,South,1315,522.49,2012-06-20,Regular Air,16.71,43.22,20601
Bill Donatelli,Corporate,New York,0.01,2012-06-18,30016,Critical,8,0.57,Technology,Small Box,T18,Telephones and Communication,-212.553,East,4224,754.6555,2012-06-21,Regular Air,2.5,110.99,14925
Andy Reiter,Corporate,Maryland,0.04,2012-06-18,9637,Low,12,0.36,Office Supplies,Wrap Bag,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,32.44,South,1316,123.76,2012-06-22,Regular Air,2.27,10.14,20601
Andy Reiter,Corporate,Maryland,0.05,2012-06-18,9637,Low,49,0.37,Technology,Large Box,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,14440.39,South,1317,28359.4,2012-06-25,Regular Air,24.49,574.74,20601
Dave Hallsten,Home Office,Texas,0.06,2012-06-19,49730,High,3,0.61,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,-394.69,Central,6953,1039.56,2012-06-20,Delivery Truck,30,350.98,78702
Tamara Dahlen,Corporate,Delaware,0.03,2012-06-19,8710,Critical,17,0.4,Office Supplies,Small Box,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,-76.015,East,1193,63.34,2012-06-20,Regular Air,6.27,3.36,19936
Tamara Dahlen,Corporate,Delaware,0.07,2012-06-19,8710,Critical,42,0.35,Office Supplies,Wrap Bag,"""While you Were Out"" Message Book, One Form per Page",Paper,8.33,East,1194,151.35,2012-06-21,Express Air,1.93,3.71,19936
Valerie Dominguez,Corporate,Ohio,0.09,2012-06-20,25601,Medium,43,0.68,Office Supplies,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Storage & Organization,-131.08,Central,3588,257.41,2012-06-21,Regular Air,4.69,5.98,45999
Craig Molinari,Small Business,Texas,0,2012-06-20,28451,Critical,14,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-403.74,Central,3981,325.46,2012-06-21,Regular Air,35,20.34,88595
Craig Molinari,Small Business,Texas,0.09,2012-06-20,28451,Critical,6,0.65,Office Supplies,Jumbo Drum,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,-617.72,Central,3982,2165.06,2012-06-22,Delivery Truck,99,370.98,88595
Susan Vittorini,Home Office,New Jersey,0.08,2012-06-20,52386,High,6,0.38,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,-216.76,East,7352,700.73,2012-06-22,Delivery Truck,26.3,120.97,07837
Craig Molinari,Small Business,Texas,0,2012-06-20,28451,Critical,33,0.56,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,1054.93,Central,3983,4913.7,2012-06-22,Delivery Truck,17.85,145.45,88595
Corey Roper,Small Business,Washington,0.02,2012-06-21,48226,Low,23,0.62,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,-108.8,West,6773,2357.45,2012-06-21,Delivery Truck,35.84,100.98,98103
Julia West,Home Office,Mass,0.04,2012-06-21,23488,Critical,30,0.62,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,-11053.6,East,3283,26133.39,2012-06-22,Delivery Truck,44.55,880.98,02139
Muhammed Yedwab,Consumer,New York,0.03,2012-06-21,16770,Critical,17,0.57,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,0.610000000,East,2325,37.06,2012-06-22,Regular Air,0.7,2.1,14709
Tracy Collins,Consumer,Illinois,0.06,2012-06-21,16961,Not Specified,27,0.51,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,-37.08,Central,2350,46.86,2012-06-22,Regular Air,1.99,1.7,62924
Craig Leslie,Consumer,Idaho,0.03,2012-06-21,14274,Not Specified,2,0.55,Technology,Small Box,Accessory35,Telephones and Communication,-164.043,West,2001,61.7185,2012-06-22,Regular Air,1.1,35.99,83465
Craig Leslie,Consumer,Idaho,0.01,2012-06-21,14274,Not Specified,23,0.74,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,112.44,West,2002,3674.08,2012-06-23,Delivery Truck,30,150.98,83465
Victor Price,Consumer,North Carolina,0.05,2012-06-21,6854,Medium,19,0.37,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,2.39,South,947,129.84,2012-06-23,Express Air,4.95,6.64,27114
Victor Price,Consumer,North Carolina,0.07,2012-06-21,6854,Medium,1,0.35,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,-2.392,South,948,22.13,2012-06-23,Express Air,6.16,7.68,27114
Craig Leslie,Consumer,Idaho,0.01,2012-06-21,14274,Not Specified,46,0.58,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-40.72,West,2003,1413.89,2012-06-23,Express Air,13.99,28.28,83465
Tracy Collins,Consumer,Illinois,0.01,2012-06-21,16961,Not Specified,34,0.4,Office Supplies,Small Box,Xerox 19,Paper,433.24,Central,2351,1089.59,2012-06-23,Regular Air,5.09,30.98,62924
Maribeth Schnelling,Corporate,Illinois,0.09,2012-06-21,41094,Low,46,0.37,Office Supplies,Small Box,Xerox 227,Paper,-225.86,Central,5794,298.97,2012-06-23,Regular Air,8.73,6.48,62924
Julia Barnett,Home Office,Florida,0.03,2012-06-21,23488,High,29,0.56,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,-73.19,South,3284,101.77,2012-06-23,Regular Air,3.97,3.28,32119
Maribeth Schnelling,Corporate,Illinois,0.05,2012-06-21,41094,Low,6,0.84,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,-153.46,Central,5795,159.05,2012-06-25,Regular Air,35,20.34,62924
